pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
45,17,10.55555556,0,202.8444444,1694,38.5,9129,212.3023256,0,670,3161,46,716,887,104,671,125,184,257,53,95,53,0.030372493,0.054441261,0.030372493,5,21,30,1.25,2,0,3,2,7,4,9,0.042553191,0,0.063829787,0.042553191,0.14893617,0.085106383,0.191489362,138,389,221,26,24,116,0,121,87,0,8,0
47,19,11.53191489,0,242.2340426,2074,44.12765957,11385,242.2340426,0,840,3761,51,1011,1030,117,766,148,337,394,77,123,77,0.036167215,0.057773603,0.036167215,12,77,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,0
40,14,14.725,0,288.225,1932,48.3,11529,288.225,0,1050,3996,45,784,1241,100,645,138,369,338,51,89,51,0.026113671,0.045570917,0.026113671,5,6,30,1.25,0,0,0,0,4,2,5,0,0,0,0,0.1,0.05,0.125,137,395,222,26,27,118,0,120,88,0,8,0
32,13,13.5,0,264.28125,1445,45.15625,8457,264.28125,0,630,2961,36,654,792,83,567,127,186,242,31,62,31,0.021483021,0.042966043,0.021483021,2,2,12,1,0,0,0,0,4,2,6,0,0,0,0,0.125,0.0625,0.1875,138,395,222,26,27,118,0,120,88,0,8,0
42,16,11.45238095,0,281.3333333,2067,49.21428571,11816,281.3333333,0,908,3834,45,1252,942,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.8,0,306.95,2082,52.05,12278,306.95,0,1080,4308,44,887,1199,101,768,140,381,382,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.81395349,0,305.0232558,2169,50.44186047,13116,305.0232558,0,1150,4727,48,923,1314,107,784,145,438,399,70,111,70,0.032833021,0.05206379,0.032833021,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,0
42,16,11.45238095,0,281.4047619,2067,49.21428571,11819,281.4047619,0,908,3835,45,1252,944,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
42,16,11.45238095,0,281.2619048,2067,49.21428571,11813,281.2619048,0,908,3836,45,1252,945,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.875,0,308,2082,52.05,12320,308,0,1080,4321,44,887,1213,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.37209302,0,302.5116279,2170,50.46511628,13008,302.5116279,0,1145,4671,48,910,1264,107,783,145,443,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,0
42,16,11.19047619,0,280.7380952,2067,49.21428571,11791,280.7380952,0,907,3829,45,1252,928,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.825,0,307.225,2082,52.05,12289,307.225,0,1076,4314,44,887,1210,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.27906977,0,301.3953488,2170,50.46511628,12960,301.3953488,0,1140,4650,48,910,1249,107,783,145,441,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,1
42,16,11.26190476,0,280.7619048,2067,49.21428571,11792,280.7619048,0,907,3829,45,1252,931,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.6,0,306.425,2082,52.05,12257,306.425,0,1074,4299,44,887,1192,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
41,12,13.51219512,0,305.2682927,2105,51.34146341,12516,305.2682927,0,1133,4452,45,861,1211,103,765,139,417,387,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,1
42,16,10.45238095,0,244.5952381,1788,42.57142857,10276,263.4871795,0,813,3515,42,878,853,97,702,126,284,336,79,117,79,0.04321663,0.064004376,0.04321663,6,23,36,2,4,0,7,4,11,6,13,0.086956522,0,0.152173913,0.086956522,0.239130435,0.130434783,0.282608696,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.55,0,306.125,2082,52.05,12245,306.125,0,1074,4299,44,887,1190,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
41,12,13.41463415,0,304.7804878,2105,51.34146341,12496,304.7804878,0,1130,4447,45,861,1204,103,765,139,417,381,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,1
41,16,11.6097561,0,268.2195122,1924,46.92682927,10997,268.2195122,0,848,3675,44,982,929,101,733,132,335,385,87,127,87,0.044050633,0.064303797,0.044050633,9,58,54,1.8,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,392,222,26,24,118,0,124,87,0,8,1
32,11,12.53125,0,283.59375,1513,47.28125,9077,302.5666667,0,708,3117,33,751,777,81,666,123,240,324,61,87,61,0.041695147,0.059466849,0.041695147,3,4,18,1.5,5,0,7,5,11,7,13,0.135135135,0,0.189189189,0.135135135,0.297297297,0.189189189,0.351351351,138,395,222,26,27,118,0,124,88,0,8,1
40,12,13.325,0,305.25,2082,52.05,12210,305.25,0,1073,4288,44,887,1171,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
42,12,13.66666667,0,306.4761905,2177,51.83333333,12872,306.4761905,0,1169,4551,46,878,1256,105,776,142,440,425,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,123,88,0,8,1
40,13,13.175,0,293.25,1990,49.75,11730,293.25,0,1057,4196,44,789,1123,100,737,138,394,330,65,101,65,0.033539732,0.052115583,0.033539732,4,5,24,1.333333333,2,0,2,2,6,4,8,0.047619048,0,0.047619048,0.047619048,0.142857143,0.095238095,0.19047619,138,395,222,26,27,118,0,123,88,0,8,1
43,17,11.53488372,0,269.9767442,2024,47.06976744,11609,269.9767442,0,878,3919,47,1048,980,105,761,138,372,412,94,136,94,0.045148895,0.065321806,0.045148895,11,60,66,1.833333333,4,0,4,4,8,6,10,0.085106383,0,0.085106383,0.085106383,0.170212766,0.127659574,0.212765957,138,392,222,26,24,118,0,124,87,0,8,1
40,12,13.35,0,305.4,2082,52.05,12216,305.4,0,1074,4291,44,887,1175,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,1
43,12,13.48837209,0,303.627907,2223,51.69767442,13056,303.627907,0,1179,4591,47,888,1273,111,780,145,455,447,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,1
44,17,12.02272727,0,286.8636364,2162,49.13636364,12622,286.8636364,0,950,4272,48,1188,1061,107,869,145,400,444,101,144,101,0.045352492,0.064660979,0.045352492,14,79,84,2,3,0,3,3,7,5,9,0.063829787,0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,392,222,26,24,118,0,124,87,0,8,1
